timestamp,rainfall_24h,rainfall_48h,rainfall_7d,month,water_level,water_level_change_24h,temperature,humidity,elevation,soil_saturation,historical_floods_count,day_of_year,flood_occurred,hours_to_flood
2022-05-05 10:43:34.066650000,4.692680899768591,10.241128682306986,35.339785183626276,5,1.0324180474960798,0.0,25.897161758503696,67.23032658078878,80,54.74396332881671,2,125,0,
2022-05-05 19:29:20.582155168,30.101214309175212,34.61944670852766,70.95102938076012,5,1.4477695129173564,0.41535146542127666,28.13630941700511,73.68875072236999,80,77.43687732363281,0,125,1,16.951784929045456
2022-05-06 04:15:07.097660336,13.167456935454494,22.14723716699875,52.050686420497826,5,0.8212210734307281,-0.6265484394866283,27.24434054032875,74.52191757464865,20,89.1565645405655,3,126,1,23.32121807114701
2022-05-06 13:00:53.613165505,9.129425537759532,14.333592007448804,42.608551053823696,5,0.8505281655350299,0.029307092104301713,23.37983623087362,69.32237805551975,20,76.33068915673225,4,126,1,27.113045058031197
2022-05-06 21:46:40.128670673,1.6962487046234629,2.6000793419366053,13.060563202367717,5,0.44981897387169506,-0.4007091916633348,26.350190172345968,63.245708908935825,40,55.10562750796797,1,126,1,38.03489615693856
2022-05-07 06:32:26.644175841,1.695962919146052,18.31727599339879,60.0209329811255,5,0.5937459963256286,0.14392702245393357,23.77621128006337,69.1699324696305,40,85.51242561084008,2,127,0,
2022-05-07 15:18:13.159681010,0.5983876860868067,4.348435060750925,13.43153105306839,5,0.6420889177835538,0.04834292145792518,26.13400146774911,69.76192270583643,80,37.598301851286266,1,127,0,
2022-05-08 00:03:59.675186178,20.112308644799395,16.566108084417348,54.81596455441464,5,0.7471613587341821,0.10507244095062829,26.099862528894782,64.13099907555919,40,71.15583955200435,1,128,1,29.831975787362214
2022-05-08 08:49:46.190691347,9.190821536272646,14.759220855256832,35.45023313251784,5,0.542622854779576,-0.20453850395460615,22.400641464376076,72.17038614322594,10,86.84308129811728,4,128,0,
2022-05-08 17:35:32.706196515,12.312500617045902,11.565073835869722,62.80125246984338,5,0.8657589267744038,0.32313607199482786,24.94482249885808,71.77608671447207,20,93.16902421245021,5,128,1,33.82448467611443
2022-05-09 02:21:19.221701683,0.20799307999138622,8.352447088307656,47.070427049745426,5,0.5832226247004181,-0.2825363020739857,25.739962090976842,72.64410958710302,80,56.747051300128184,2,129,1,37.25862587272965
2022-05-09 11:07:05.737206852,35.03557475158312,40.57326825150209,79.7404798928514,5,1.6751550929546706,1.0919324682542526,24.35779830675008,71.855372863314,80,79.236293688096,2,129,1,13.916075640491947
